Time,accX,accY,accZ
40.735928,-50.0,62.0,1016.0
40.742599999999996,-56.0,73.0,1013.0
40.74926,-51.0,63.0,1010.0
40.755932,-53.0,69.0,1005.0
40.762588,-49.0,65.0,1003.0
40.769264,-48.0,68.0,1000.0
40.77592,-50.0,68.0,1004.0
40.782592,-51.0,62.0,1001.0
40.789252,-49.0,65.0,1000.0
40.795924,-49.0,64.0,1002.0
40.802588,-52.0,60.0,1000.0
40.809256,-54.0,65.0,1003.0
40.815916,-53.0,71.0,1014.0
40.822587999999996,-50.0,61.0,1009.0
40.829248,-49.0,66.0,1021.0
40.83592,-49.0,66.0,1018.0
40.842583999999995,-53.0,71.0,1020.0
40.849252,-53.0,65.0,1021.0
40.85592,-56.0,68.0,1024.0
40.862584,-56.0,70.0,1028.0
40.869251999999996,-55.0,68.0,1031.0
40.875916,-52.0,68.0,1026.0
40.882584,-51.0,67.0,1033.0
40.889247999999995,-52.0,68.0,1034.0
40.895916,-49.0,72.0,1024.0
40.902584,-54.0,63.0,1034.0
40.909248,-52.0,68.0,1035.0
40.915915999999996,-55.0,67.0,1041.0
40.922579999999996,-50.0,69.0,1023.0
40.929248,-53.0,66.0,1019.0
40.935912,-55.0,68.0,1020.0
40.94258,-53.0,68.0,1013.0
40.949244,-50.0,61.0,1024.0
40.955912,-45.0,59.0,1012.0
40.962576,-50.0,62.0,1013.0
40.969243999999996,-51.0,68.0,1007.0
40.975908,-51.0,62.0,1007.0
40.982572,-48.0,67.0,1006.0
40.989239999999995,-50.0,62.0,1004.0
40.995903999999996,-46.0,61.0,1012.0
41.002572,-49.0,59.0,997.0
41.009236,-51.0,60.0,1005.0
41.015904,-46.0,73.0,1001.0
41.022568,-47.0,64.0,1002.0
41.029236,-51.0,63.0,1014.0
41.035903999999995,-51.0,68.0,1012.0
41.042567999999996,-52.0,63.0,1010.0
41.049231999999996,-55.0,63.0,1021.0
41.0559,-51.0,61.0,1022.0
41.062564,-50.0,64.0,1019.0
41.069232,-52.0,67.0,1018.0
41.075891999999996,-49.0,66.0,1025.0
41.08256,-50.0,72.0,1031.0
41.089224,-50.0,66.0,1030.0
41.095895999999996,-54.0,74.0,1029.0
41.102556,-53.0,65.0,1034.0
41.109228,-56.0,68.0,1030.0
41.115888,-54.0,64.0,1032.0
41.12256,-52.0,75.0,1025.0
41.12922,-51.0,74.0,1031.0
41.135892,-52.0,68.0,1028.0
41.142551999999995,-53.0,70.0,1029.0
41.149224,-50.0,68.0,1020.0
41.155884,-48.0,59.0,1019.0
41.162555999999995,-53.0,62.0,1017.0
41.169216,-50.0,60.0,1013.0
41.175888,-54.0,62.0,1018.0
41.182548,-49.0,66.0,1012.0
41.18922,-55.0,69.0,1010.0
41.195888,-54.0,63.0,1009.0
41.202552,-53.0,69.0,1008.0
41.209219999999995,-52.0,68.0,999.0
41.215883999999996,-51.0,66.0,997.0
41.222552,-48.0,64.0,997.0
41.229212,-49.0,58.0,1001.0
41.235884,-48.0,73.0,1001.0
41.242548,-51.0,63.0,1004.0
41.249212,-45.0,68.0,1009.0
41.25588,-54.0,69.0,1013.0
41.262544,-52.0,65.0,1010.0
41.269211999999996,-54.0,68.0,1017.0
41.27588,-49.0,61.0,1020.0
41.282544,-52.0,68.0,1022.0
41.289207999999995,-52.0,75.0,1023.0
41.295876,-54.0,69.0,1023.0
41.30254,-50.0,67.0,1027.0
41.309204,-53.0,62.0,1035.0
41.315872,-54.0,68.0,1031.0
41.322536,-56.0,74.0,1034.0
41.329204,-53.0,63.0,1030.0
41.335871999999995,-50.0,62.0,1031.0
41.34254,-54.0,61.0,1034.0
41.349204,-53.0,65.0,1025.0
41.355872,-53.0,71.0,1031.0
41.362536,-51.0,70.0,1027.0
41.3692,-54.0,68.0,1020.0
41.375868,-54.0,67.0,1017.0
41.382532,-51.0,65.0,1018.0
41.389199999999995,-49.0,63.0,1018.0
41.395863999999996,-49.0,65.0,1012.0
41.402532,-46.0,63.0,1004.0
41.4092,-52.0,63.0,1007.0
41.415856,-50.0,64.0,1000.0
41.422532,-48.0,65.0,1001.0
41.429192,-51.0,68.0,997.0
41.435863999999995,-54.0,66.0,1004.0
41.44252,-46.0,64.0,1010.0
41.449192,-48.0,60.0,1007.0
41.455852,-50.0,60.0,1005.0
41.462523999999995,-45.0,66.0,1010.0
41.469184,-55.0,63.0,1003.0
41.475856,-51.0,62.0,1013.0
41.482516,-46.0,73.0,1017.0
41.489188,-51.0,68.0,1013.0
41.495847999999995,-51.0,62.0,1015.0
41.50252,-48.0,65.0,1019.0
41.50918,-53.0,64.0,1020.0
41.515851999999995,-53.0,68.0,1030.0
41.522515999999996,-50.0,67.0,1024.0
41.529188,-50.0,70.0,1034.0
41.535852,-53.0,66.0,1041.0
41.542516,-59.0,68.0,1034.0
41.549184,-53.0,63.0,1024.0
41.555848,-56.0,67.0,1030.0
41.562515999999995,-54.0,69.0,1032.0
41.569179999999996,-54.0,68.0,1030.0
41.575848,-56.0,68.0,1026.0
41.582512,-54.0,71.0,1021.0
41.58918,-49.0,63.0,1020.0
41.595844,-55.0,66.0,1026.0
41.602512,-55.0,70.0,1016.0
41.609176,-52.0,69.0,1017.0
41.615843999999996,-51.0,60.0,1012.0
41.622512,-52.0,67.0,996.0
41.629172,-52.0,62.0,1012.0
41.635844,-49.0,66.0,1001.0
41.642508,-51.0,67.0,1014.0
41.649176,-54.0,61.0,1002.0
41.65584,-54.0,60.0,1004.0
41.662507999999995,-49.0,64.0,1002.0
41.669171999999996,-47.0,64.0,1007.0
41.675836,-47.0,58.0,1003.0
41.682504,-47.0,65.0,1003.0
41.689167999999995,-53.0,68.0,1013.0
41.695836,-51.0,61.0,1005.0
41.702504,-46.0,64.0,1021.0
41.709168,-51.0,66.0,1015.0
41.715835999999996,-49.0,67.0,1018.0
41.7225,-54.0,70.0,1022.0
41.729168,-55.0,72.0,1027.0
41.735831999999995,-51.0,69.0,1029.0
41.7425,-55.0,68.0,1030.0
41.749164,-48.0,78.0,1034.0
41.75582,-53.0,72.0,1028.0
41.762496,-55.0,71.0,1026.0
41.769155999999995,-55.0,65.0,1035.0
41.775828,-55.0,70.0,1031.0
41.782488,-52.0,62.0,1031.0
41.789159999999995,-53.0,61.0,1036.0
41.79582,-51.0,61.0,1027.0
41.802492,-54.0,63.0,1020.0
41.809152,-54.0,64.0,1018.0
41.815824,-54.0,59.0,1016.0
41.822483999999996,-53.0,62.0,1013.0
41.829156,-51.0,67.0,1008.0
41.835816,-53.0,65.0,1007.0
41.842487999999996,-54.0,62.0,1011.0
41.849148,-45.0,66.0,1003.0
41.85582,-48.0,73.0,1011.0
41.86248,-50.0,68.0,1002.0
41.869152,-50.0,62.0,1006.0
41.875816,-52.0,61.0,1003.0
41.882484,-51.0,63.0,1002.0
41.889148,-52.0,69.0,1002.0
41.895815999999996,-53.0,64.0,1008.0
41.90248,-49.0,64.0,1003.0
41.909144,-48.0,65.0,1017.0
41.915816,-53.0,72.0,1017.0
41.92248,-48.0,61.0,1021.0
41.929148,-48.0,61.0,1014.0
41.935812,-52.0,65.0,1016.0
41.942479999999996,-48.0,67.0,1021.0
41.949144,-53.0,69.0,1035.0
41.955808,-53.0,64.0,1029.0
41.962475999999995,-55.0,69.0,1028.0
