"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)",omegaa
4.756469730E-1,1.509704590E-1,4.867553711E-2,1.741027832E-2,1.595760170E-1
4.780578610E-1,1.534118652E-1,5.661010742E-2,1.802062988E-2,1.645133665E-1
4.804382330E-1,1.509704590E-1,6.027221680E-2,1.863098145E-2,1.636213100E-1
4.828186040E-1,1.466979980E-1,6.333923340E-2,1.924133301E-2,1.609421946E-1
4.852294920E-1,1.405944824E-1,6.455993652E-2,1.802062988E-2,1.557547335E-1
4.876098630E-1,1.326446533E-1,5.966186523E-2,1.496887207E-2,1.462128905E-1
4.899902340E-1,1.253051758E-1,5.233764648E-2,1.129150391E-2,1.362648685E-1
4.923706060E-1,1.155395508E-1,4.194641113E-2,8.850097656E-3,1.232364128E-1
4.947814940E-1,1.063842773E-1,2.912902832E-2,5.798339844E-3,1.104524128E-1
4.971618650E-1,9.294128418E-2,1.324462891E-2,4.577636719E-3,9.399179357E-2
4.995422360E-1,8.132934570E-2,4.119873047E-4,5.798339844E-3,8.153681960E-2
5.019531250E-1,7.093811035E-2,-1.301574707E-2,5.187988281E-3,7.230864675E-2
5.043334960E-1,5.812072754E-2,-2.584838867E-2,6.408691406E-3,6.393144369E-2
5.067138670E-1,4.711914062E-2,-3.561401367E-2,6.408691406E-3,5.941079623E-2
5.091247560E-1,3.857421875E-2,-4.356384277E-2,3.356933594E-3,5.828419814E-2
5.115051270E-1,3.123474121E-2,-4.783630371E-2,5.187988281E-3,5.736581067E-2
5.138854980E-1,2.268981934E-2,-5.271911621E-2,2.136230469E-3,5.743428067E-2
5.162963870E-1,1.535034180E-2,-5.455017090E-2,9.155273438E-4,5.667620602E-2
5.186767580E-1,9.857177734E-3,-5.332946777E-2,-9.155273438E-4,5.424052246E-2
5.210571290E-1,5.584716797E-3,-5.149841309E-2,-1.541137695E-3,5.182326425E-2
5.234680180E-1,7.019042969E-4,-4.661560059E-2,-3.982543945E-3,4.679067796E-2
5.258483890E-1,-1.144409180E-3,-4.112243652E-2,-3.982543945E-3,4.133068006E-2
5.282287600E-1,-2.365112305E-3,-3.561401367E-2,-2.136230469E-3,3.575633100E-2
5.306396490E-1,-3.585815430E-3,-3.012084961E-2,-9.155273438E-4,3.034735316E-2
5.330200200E-1,-3.585815430E-3,-2.645874023E-2,-3.204345703E-4,2.670254080E-2
5.354003910E-1,-2.365112305E-3,-2.340698242E-2,-1.541137695E-3,2.357659194E-2
5.377807620E-1,-2.960205078E-3,-2.095031738E-2,-2.761840820E-3,2.133790939E-2
5.401916500E-1,-2.960205078E-3,-1.913452148E-2,-3.356933594E-3,1.965099819E-2
5.425720220E-1,-2.960205078E-3,-1.667785645E-2,-3.982543945E-3,1.740041281E-2
5.449523930E-1,-6.011962891E-3,-1.240539551E-2,-4.577636719E-3,1.452557377E-2
5.473632810E-1,-7.858276367E-3,-9.353637695E-3,-3.356933594E-3,1.266933498E-2
5.497436520E-1,-1.029968262E-2,-3.845214844E-3,-3.356933594E-3,1.149513560E-2
5.521240240E-1,-1.089477539E-2,1.632690430E-3,-3.982543945E-3,1.171419930E-2
5.545349120E-1,-1.211547852E-2,7.751464844E-3,-3.982543945E-3,1.492416440E-2
5.569152830E-1,-1.396179199E-2,1.507568359E-2,-2.136230469E-3,2.065844505E-2
5.592956540E-1,-1.335144043E-2,2.178955078E-2,-1.541137695E-3,2.560118337E-2
5.617065430E-1,-1.396179199E-2,2.851867676E-2,-1.541137695E-3,3.179027627E-2
5.640869140E-1,-1.396179199E-2,3.645324707E-2,-1.541137695E-3,3.906591818E-2
5.664672850E-1,-1.274108887E-2,4.194641113E-2,-2.761840820E-3,4.392567037E-2
5.688781740E-1,-1.335144043E-2,4.745483398E-2,-3.356933594E-3,4.941144840E-2
5.712585450E-1,-1.274108887E-2,5.111694336E-2,-2.761840820E-3,5.275324643E-2
5.736389160E-1,-1.335144043E-2,5.233764648E-2,-1.541137695E-3,5.403577802E-2
5.760192870E-1,-1.518249512E-2,5.172729492E-2,-9.155273438E-4,5.391715301E-2
5.784301760E-1,-1.518249512E-2,5.355834961E-2,-1.541137695E-3,5.569003570E-2
5.808105470E-1,-1.640319824E-2,5.294799805E-2,-2.761840820E-3,5.549939796E-2
5.831909180E-1,-1.762390137E-2,5.233764648E-2,-2.761840820E-3,5.529429359E-2
5.856018070E-1,-2.006530762E-2,5.050659180E-2,-2.761840820E-3,5.441654298E-2
5.879821780E-1,-2.067565918E-2,4.989624023E-2,-3.356933594E-3,5.411456990E-2
5.903625490E-1,-2.128601074E-2,4.989624023E-2,-9.155273438E-4,5.425465172E-2
5.927734380E-1,-2.311706543E-2,4.499816895E-2,-2.136230469E-3,5.063395504E-2
5.951538090E-1,-2.372741699E-2,4.318237305E-2,-9.155273438E-4,4.928027850E-2
5.975341800E-1,-2.372741699E-2,3.645324707E-2,-3.204345703E-4,4.349634717E-2
5.999450680E-1,-2.555847168E-2,3.096008301E-2,9.155273438E-4,4.015719618E-2
6.023254400E-1,-2.677917480E-2,2.423095703E-2,2.136230469E-3,3.617771362E-2
6.047058110E-1,-2.496337891E-2,1.751708984E-2,2.746582031E-3,3.061964134E-2
6.071166990E-1,-2.740478516E-2,1.507568359E-2,2.746582031E-3,3.139812412E-2
